app,key_level,key,tsan_runs_hit,tsan-sound_runs_hit,tsan-all_runs_hit,tsan_runs,tsan-sound_runs,tsan-all_runs
memcached,1,data race | read:clock_handler@memcached.c:4009 | write:do_item_link@items.c:499 | global:stats_state,10,10,10,10,10,10
memcached,1,data race | read:clock_handler@memcached.c:4009 | write:do_item_unlink@items.c:519 | global:stats_state,10,10,10,10,10,10
memcached,1,data race | read:conn_new@memcached.c:753 | write:rbuf_release@memcached.c:417 | heap:conn_new@memcached.c:656,5,0,1,10,10,10
memcached,1,data race | read:conn_new@memcached.c:761 | write:clock_handler@memcached.c | global:current_time,10,10,0,10,10,10
memcached,1,data race | read:conn_release_items@memcached.c:840 | write:conn_new@memcached.c:766 | heap:conn_new@memcached.c:656,4,0,1,10,10,10
memcached,1,data race | read:do_item_link@items.c:495 | write:clock_handler@memcached.c | global:current_time,10,10,10,10,10,10
memcached,1,data race | read:drive_machine@memcached.c:3162 | write:conn_new@memcached.c:694 | heap:conn_new@memcached.c:656,4,0,1,10,10,10
memcached,1,data race | read:drive_machine@memcached.c:3421 | write:conn_new@memcached.c:694 | heap:conn_new@memcached.c:656,1,0,0,10,10,10
memcached,1,data race | read:item_crawler_thread@crawler.c:570 | write:do_item_unlink@items.c:516 | heap:memory_allocate@slabs.c:615,10,10,9,10,10,10
memcached,1,data race | read:item_remove@thread.c:921 | write:do_item_unlink@items.c:516 | heap:memory_allocate@slabs.c:615,10,10,10,10,10,10
memcached,1,data race | read:lru_maintainer_juggle@items.c:1426 | write:clock_handler@memcached.c | global:current_time,2,5,2,10,10,10
memcached,1,data race | read:lru_maintainer_thread@items.c:1671 | write:clock_handler@memcached.c | global:current_time,10,10,10,10,10,10
memcached,1,data race | read:lru_pull_tail@items.c:1137 | write:do_item_unlink@items.c:516 | heap:memory_allocate@slabs.c:615,10,10,10,10,10,10
memcached,1,data race | read:lru_pull_tail@items.c:1207 | write:clock_handler@memcached.c | global:current_time,2,0,1,10,10,10
memcached,1,data race | read:try_read_command_ascii@proto_text.c:493 | write:clock_handler@memcached.c | global:current_time,10,10,10,10,10,10
memcached,1,data race | read:try_read_network@memcached.c:2530 | write:conn_new@memcached.c:784 | heap:conn_new@memcached.c:656,4,0,1,10,10,10
memcached,1,data race | write:conn_close@memcached.c:933 | write:conn_new@memcached.c:752 | heap:conn_new@memcached.c:656,5,0,1,10,10,10
memcached,1,data race | write:conn_new@memcached.c | write:conn_new@memcached.c | heap:conn_new@memcached.c:656,1,0,0,10,10,10
memcached,1,data race | write:conn_new@memcached.c:695 | write:conn_new@memcached.c:695 | heap:conn_new@memcached.c:656,1,0,0,10,10,10
memcached,1,data race | write:conn_new@memcached.c:696 | write:conn_new@memcached.c:696 | heap:conn_new@memcached.c:656,1,0,0,10,10,10
memcached,1,data race | write:conn_new@memcached.c:708 | write:conn_new@memcached.c:708 | heap:conn_new@memcached.c:656,1,0,0,10,10,10
memcached,1,data race | write:conn_new@memcached.c:749 | write:conn_set_state@memcached.c:1011 | heap:conn_new@memcached.c:656,5,0,1,10,10,10
memcached,1,data race | write:conn_new@memcached.c:750 | write:conn_new@memcached.c:750 | heap:conn_new@memcached.c:656,1,0,0,10,10,10
memcached,1,data race | write:conn_new@memcached.c:751 | write:reset_cmd_handler@memcached.c:1452 | heap:conn_new@memcached.c:656,1,0,0,10,10,10
memcached,1,data race | write:conn_new@memcached.c:753 | write:rbuf_release@memcached.c:417 | heap:conn_new@memcached.c:656,5,0,1,10,10,10
memcached,1,data race | write:conn_new@memcached.c:754 | write:conn_new@memcached.c:754 | heap:conn_new@memcached.c:656,1,0,0,10,10,10
